2026-06-26 22:16:42,903 | INFO    | __main__ | Comandos: !mob1, !mob2, !mob3
2026-06-26 22:21:29,657 | INFO    | websockets.server | connection open
2026-06-26 22:21:29,657 | INFO    | src.panel_server | Overlay conectado (4 ativos)
2026-06-26 22:21:30,261 | INFO    | httpx | HTTP Request: GET https://www.tiktok.com/@davillops/live? "HTTP/1.1 200 OK"
2026-06-26 22:21:31,061 | INFO    | httpx | HTTP Request: GET https://webcast.tiktok.com/webcast/room/check_alive/?aid=1988&app_language=en&app_name=tiktok_web&browser_language=en-JM&browser_name=Mozilla&browser_online=true&browser_platform=Win32&browser_version=5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%3B%20rv%3A130.0%29%20Gecko%2F20100101%20Firefox%2F130.0&cookie_enabled=true&device_platform=web_pc&focus_state=true&from_page=&history_len=14&is_fullscreen=false&is_page_visible=true&screen_height=1080&screen_width=1920&tz_name=America/Jamaica&channel=tiktok_web&data_collection_enabled=true&os=windows&priority_region=JM&region=JM&user_is_login=false&webcast_language=en&msToken=&referer=https://www.tiktok.com/@davillops/live&root_referer=https://www.tiktok.com/@davillops/live&device_id=37319156997726333909&room_id=7655878218319088402&room_ids=7655878218319088402 "HTTP/1.1 200 OK"
2026-06-26 22:21:32,053 | INFO    | httpx | HTTP Request: GET https://tiktok.eulerstream.com/webcast/fetch/?client=ttlive-python&room_id=7655878218319088402&user_agent=Mozilla%2F5.0+%28Windows+NT+10.0%3B+Win64%3B+x64%3B+rv%3A130.0%29+Gecko%2F20100101+Firefox%2F130.0&platform=web&client_enter=true "HTTP/1.1 200 OK"
2026-06-26 22:21:32,823 | INFO    | src.tiktok_listener | Conectado a live de @davillops
2026-06-26 22:21:52,404 | INFO    | src.tiktok_listener | GiftEvent recebido: nome='GG' de Eca TEXTURA (diamantes=1, streakable=True, streaking=True)
2026-06-26 22:21:55,745 | INFO    | src.tiktok_listener | GiftEvent recebido: nome='GG' de Eca TEXTURA (diamantes=1, streakable=True, streaking=False)
2026-06-26 22:21:55,766 | INFO    | src.tiktok_listener | Presente executavel: GG de Eca TEXTURA
2026-06-26 22:21:55,766 | INFO    | src.command_queue | Enfileirado: gg por Eca TEXTURA (fila=1)
2026-06-26 22:21:55,775 | INFO    | src.command_queue | Executado: gg por Eca TEXTURA
2026-06-26 22:29:19,152 | INFO    | src.tiktok_listener | Meta de likes batida por carlbgs (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:25,569 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:26,412 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:28,096 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:28,096 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:30,572 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:31,376 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:32,220 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:33,011 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:34,711 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:36,416 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:38,006 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:38,790 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:39,659 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:40,438 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:51,241 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:52,790 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:53,679 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:55,311 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:56,166 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:56,992 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:57,757 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:35:59,478 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:36:01,076 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:36:02,775 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:36:03,572 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:36:04,338 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:36:05,151 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:41:49,489 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:41:50,370 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:41:51,173 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:41:52,885 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:41:53,731 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:41:55,375 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:41:56,990 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:41:57,790 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:41:58,651 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:41:59,456 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:01,134 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:01,998 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:03,686 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:04,505 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:05,339 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:07,850 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:08,703 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:09,514 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:11,187 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:11,187 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:12,811 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:14,516 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:15,267 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:16,120 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:17,783 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:19,391 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:20,186 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:21,830 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:22,759 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:23,563 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:26,053 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:26,053 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:26,905 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:48,408 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:49,230 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:51,801 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:52,573 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:53,400 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:54,233 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:55,915 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:56,802 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:58,384 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:42:59,154 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:00,045 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:01,647 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:03,252 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:04,102 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:05,712 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:06,509 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:07,366 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:09,906 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:10,705 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:11,554 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:12,308 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:13,156 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:15,660 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:16,509 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:43:24,869 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:44:44,818 | INFO    | src.tiktok_listener | GiftEvent recebido: nome='Glow Stick' de Charles Edu∆ (diamantes=1, streakable=True, streaking=True)
2026-06-26 22:44:48,128 | INFO    | src.tiktok_listener | GiftEvent recebido: nome='Glow Stick' de Charles Edu∆ (diamantes=1, streakable=True, streaking=False)
2026-06-26 22:44:48,137 | INFO    | src.tiktok_listener | Presente 'Glow Stick' (de Charles Edu∆) nao esta em 'gifts'. Configurados: gamepad, gg, ice cream cone, pop, rose, tiktok, tiny diny
2026-06-26 22:49:11,490 | INFO    | src.tiktok_listener | Meta de likes batida por Charles Edu∆ (LIKES_ENABLED=false, ignorado)
2026-06-26 22:49:14,788 | INFO    | src.tiktok_listener | Meta de likes batida por Charles Edu∆ (LIKES_ENABLED=false, ignorado)
2026-06-26 22:49:18,056 | INFO    | src.tiktok_listener | Meta de likes batida por Charles Edu∆ (LIKES_ENABLED=false, ignorado)
2026-06-26 22:49:20,545 | INFO    | src.tiktok_listener | Meta de likes batida por Charles Edu∆ (LIKES_ENABLED=false, ignorado)
2026-06-26 22:49:26,426 | INFO    | src.tiktok_listener | Meta de likes batida por Charles Edu∆ (LIKES_ENABLED=false, ignorado)
2026-06-26 22:49:29,708 | INFO    | src.tiktok_listener | Meta de likes batida por Charles Edu∆ (LIKES_ENABLED=false, ignorado)
2026-06-26 22:49:33,021 | INFO    | src.tiktok_listener | Meta de likes batida por Charles Edu∆ (LIKES_ENABLED=false, ignorado)
2026-06-26 22:49:36,313 | INFO    | src.tiktok_listener | Meta de likes batida por Charles Edu∆ (LIKES_ENABLED=false, ignorado)
2026-06-26 22:49:39,616 | INFO    | src.tiktok_listener | Meta de likes batida por Charles Edu∆ (LIKES_ENABLED=false, ignorado)
2026-06-26 22:49:45,391 | INFO    | src.tiktok_listener | Meta de likes batida por Charles Edu∆ (LIKES_ENABLED=false, ignorado)
2026-06-26 22:53:47,692 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
2026-06-26 22:53:50,197 | INFO    | src.tiktok_listener | Meta de likes batida por Eca TEXTURA (LIKES_ENABLED=false, ignorado)
