2026-06-15 20:31:53,814 | INFO    | __main__ | Comandos: !barril, !cura, !drop, !formiga
2026-06-15 20:37:35,241 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@joao_zoeira)
2026-06-15 20:37:36,884 | INFO    | src.tiktok_listener | Presente executavel: tiktok de @joao_zoeira
2026-06-15 20:37:36,884 | INFO    | src.command_queue | Enfileirado: tiktok por @joao_zoeira (fila=1)
2026-06-15 20:37:36,888 | INFO    | src.command_queue | Executado: tiktok por @joao_zoeira
2026-06-15 20:37:38,481 | INFO    | src.tiktok_listener | Novo seguidor @pedrocaos -> fogo
2026-06-15 20:37:38,481 | INFO    | src.command_queue | Enfileirado: __follow__ por @pedrocaos (fila=1)
2026-06-15 20:37:38,485 | INFO    | src.command_queue | Executado: __follow__ por @pedrocaos
2026-06-15 20:37:42,356 | INFO    | src.command_queue | Enfileirado: !formiga por @ana.gamer (fila=1)
2026-06-15 20:37:42,509 | INFO    | src.command_queue | Executado: !formiga por @ana.gamer
2026-06-15 20:37:49,454 | INFO    | src.tiktok_listener | Presente executavel: tiktok de @pedrocaos
2026-06-15 20:37:49,455 | INFO    | src.command_queue | Enfileirado: tiktok por @pedrocaos (fila=1)
2026-06-15 20:37:49,459 | INFO    | src.command_queue | Executado: tiktok por @pedrocaos
2026-06-15 20:37:51,687 | INFO    | src.command_queue | Enfileirado: !cura por @lua_fps (fila=1)
2026-06-15 20:37:51,839 | INFO    | src.command_queue | Executado: !cura por @lua_fps
2026-06-15 20:37:54,755 | INFO    | src.tiktok_listener | Presente executavel: gg de @ana.gamer
2026-06-15 20:37:54,756 | INFO    | src.command_queue | Enfileirado: gg por @ana.gamer (fila=1)
2026-06-15 20:37:54,760 | INFO    | src.command_queue | Executado: gg por @ana.gamer
2026-06-15 20:37:57,855 | INFO    | src.tiktok_listener | Novo seguidor @pedrocaos -> fogo
2026-06-15 20:37:57,855 | INFO    | src.command_queue | Enfileirado: __follow__ por @pedrocaos (fila=1)
2026-06-15 20:37:57,858 | INFO    | src.command_queue | Executado: __follow__ por @pedrocaos
2026-06-15 20:38:01,559 | INFO    | src.command_queue | Enfileirado: !drop por @joao_zoeira (fila=1)
2026-06-15 20:38:01,712 | INFO    | src.command_queue | Executado: !drop por @joao_zoeira
2026-06-15 20:38:04,628 | INFO    | src.command_queue | Enfileirado: !barril por @ana.gamer (fila=1)
2026-06-15 20:38:04,781 | INFO    | src.command_queue | Executado: !barril por @ana.gamer
2026-06-15 20:38:11,169 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@pedrocaos)
2026-06-15 20:38:12,704 | INFO    | src.tiktok_listener | Presente executavel: tiktok de @lua_fps
2026-06-15 20:38:12,704 | INFO    | src.command_queue | Enfileirado: tiktok por @lua_fps (fila=1)
2026-06-15 20:38:12,708 | INFO    | src.command_queue | Executado: tiktok por @lua_fps
2026-06-15 20:38:15,210 | INFO    | src.command_queue | Enfileirado: !cura por @ana.gamer (fila=1)
2026-06-15 20:38:15,212 | WARNING | src.command_queue | Jogo fora de foco; descartando !cura
2026-06-15 20:38:16,729 | INFO    | src.tiktok_listener | Meta de likes batida por @ana.gamer -> zumbi
2026-06-15 20:38:16,730 | INFO    | src.command_queue | Enfileirado: __likes__ por @ana.gamer (fila=1)
2026-06-15 20:38:16,733 | INFO    | src.command_queue | Executado: __likes__ por @ana.gamer
2026-06-15 20:38:18,588 | INFO    | src.tiktok_listener | Presente executavel: tiny diny de @joao_zoeira
2026-06-15 20:38:18,588 | INFO    | src.command_queue | Enfileirado: tiny diny por @joao_zoeira (fila=1)
2026-06-15 20:38:18,589 | INFO    | src.tiktok_listener | Simulacao rodando (tick 140)
2026-06-15 20:38:18,592 | INFO    | src.command_queue | Executado: tiny diny por @joao_zoeira
2026-06-15 20:38:24,023 | INFO    | src.cooldown | Descartado por cooldown de usuario: !barril (user=@ana.gamer)
2026-06-15 20:38:26,218 | INFO    | src.command_queue | Enfileirado: !barril por @pedrocaos (fila=1)
2026-06-15 20:38:26,219 | WARNING | src.command_queue | Jogo fora de foco; descartando !barril
2026-06-15 20:38:27,968 | INFO    | src.tiktok_listener | Presente executavel: rose de @lua_fps
2026-06-15 20:38:27,968 | INFO    | src.command_queue | Enfileirado: rose por @lua_fps (fila=1)
2026-06-15 20:38:27,969 | WARNING | src.command_queue | Jogo fora de foco; descartando rose
2026-06-15 20:38:30,811 | INFO    | src.tiktok_listener | Presente executavel: tiny diny de @pedrocaos
2026-06-15 20:38:30,811 | INFO    | src.command_queue | Enfileirado: tiny diny por @pedrocaos (fila=1)
2026-06-15 20:38:30,814 | INFO    | src.command_queue | Executado: tiny diny por @pedrocaos
2026-06-15 20:38:34,014 | INFO    | src.tiktok_listener | Novo seguidor @joao_zoeira -> fogo
2026-06-15 20:38:34,015 | INFO    | src.command_queue | Enfileirado: __follow__ por @joao_zoeira (fila=1)
2026-06-15 20:38:34,019 | INFO    | src.command_queue | Executado: __follow__ por @joao_zoeira
2026-06-15 20:38:44,172 | INFO    | src.tiktok_listener | Presente executavel: tiny diny de @pedrocaos
2026-06-15 20:38:44,173 | INFO    | src.command_queue | Enfileirado: tiny diny por @pedrocaos (fila=1)
2026-06-15 20:38:44,176 | INFO    | src.command_queue | Executado: tiny diny por @pedrocaos
2026-06-15 20:38:47,917 | INFO    | src.tiktok_listener | Presente executavel: mishka bear de @pedrocaos
2026-06-15 20:38:47,917 | INFO    | src.command_queue | Enfileirado: mishka bear por @pedrocaos (fila=1)
2026-06-15 20:38:47,921 | INFO    | src.command_queue | Executado: mishka bear por @pedrocaos
2026-06-15 20:38:53,086 | INFO    | src.command_queue | Enfileirado: !drop por @lua_fps (fila=1)
2026-06-15 20:38:53,086 | WARNING | src.command_queue | Jogo fora de foco; descartando !drop
2026-06-15 20:38:55,285 | INFO    | src.tiktok_listener | Novo seguidor @pedrocaos -> fogo
2026-06-15 20:38:55,285 | INFO    | src.command_queue | Enfileirado: __follow__ por @pedrocaos (fila=1)
